#Drug,Gene
CID000002803,P81491
CID000002803,P83551
CID000002803,P680
CID000002803,P11255
CID000004932,P1544
CID000004932,P155
CID000004932,P3757
CID000004932,P153
CID000004932,P3362
CID000004932,P1565
CID000004932,P3357
CID000004932,P3356
CID000004932,P5243
CID000004932,P6531
CID000004932,P6331
CID000004932,P3358
CID000004932,P3350
CID000003954,P1269
CID000003954,P124274
CID000003954,P2849
CID000003954,P2847
CID000003954,P2844
CID000003954,P2845
CID000003954,P2842
CID000003954,P54112
CID000003954,P136
CID000003954,P135
CID000003954,P134
CID000003954,P10692
CID000003954,P9287
CID000003954,P9283
CID000003954,P4985
CID000003954,P4987
CID000003954,P10663
CID000003954,P4988
CID000003954,P27201
CID000003954,P4889
CID000003954,P221391
CID000003954,P2850
CID000003954,P84539
CID000003954,P84634
CID000003954,P4887
CID000003954,P54329
CID000003954,P54328
CID000003954,P10886
CID000003954,P10887
CID000003954,P729230
CID000003954,P23566
CID000003954,P10888
CID000003954,P9170
CID000003954,P6010
CID000003954,P56923
CID000003954,P2798
CID000003954,P128674
CID000003954,P10803
CID000003954,P319100
CID000003954,P23596
CID000003954,P94233
CID000003954,P3274
CID000003954,P285601
CID000003954,P2827
CID000003954,P53831
CID000003954,P1902
CID000003954,P338557
CID000003954,P1234
CID000003954,P1230
CID000003954,P1813
CID000003954,P1232
CID000003954,P1233
CID000003954,P1238
CID000003954,P2837
CID000003954,P2835
CID000003954,P2834
CID000003954,P2832
CID000003954,P2831
CID000003954,P2830
CID000003954,P344561
CID000003954,P2652
CID000003954,P5734
CID000003954,P5737
CID000003954,P5243
CID000003954,P1241
CID000003954,P8811
CID000003954,P3351
CID000003954,P83550
CID000003954,P3350
CID000003954,P623
CID000003954,P2861
CID000003954,P64106
CID000003954,P3352
CID000003954,P339403
CID000003954,P153
CID000003954,P7852
CID000003954,P83873
CID000003954,P152
CID000003954,P6532
CID000003954,P155
CID000003954,P9038
CID000003954,P134864
CID000003954,P64582
CID000003954,P4829
CID000003954,P5540
CID000003954,P3361
CID000003954,P3362
CID000003954,P3363
CID000003954,P186
CID000003954,P187
CID000003954,P185
CID000003954,P2587
CID000003954,P9293
CID000003954,P5021
CID000003954,P57007
CID000003954,P4986
CID000003954,P118442
CID000003954,P8477
CID000003954,P4157
CID000003954,P84109
CID000003954,P2925
CID000003954,P5956
CID000003954,P6752
CID000003954,P6753
CID000003954,P350383
CID000003954,P6751
CID000003954,P6754
CID000003954,P6755
CID000003954,P2693
CID000003954,P151
CID000003954,P150
CID000003954,P2862
CID000003954,P2863
CID000003954,P887
CID000003954,P886
CID000003954,P554
CID000003954,P4886
CID000003954,P552
CID000003954,P59340
CID000003954,P3062
CID000003954,P3061
CID000003954,P4923
CID000003954,P1816
CID000003954,P5729
CID000003954,P4161
CID000003954,P4160
CID000003954,P11245
CID000003954,P7201
CID000003954,P139760
CID000003954,P1565
CID000003954,P146
CID000003954,P147
CID000003954,P134391
CID000003954,P140
CID000003954,P51289
CID000003954,P611
CID000003954,P148
CID000003954,P3355
CID000003954,P3354
CID000003954,P3357
CID000003954,P3356
CID000003954,P5731
CID000003954,P10316
CID000003954,P5733
CID000003954,P5732
CID000003954,P5739
CID000003954,P3358
CID000003954,P23620
CID000003954,P5995
CID000003954,P56413
CID000003954,P1812
CID000003954,P6915
CID000003954,P4158
CID000003954,P4159
CID000003954,P11250
CID000003954,P1814
CID000003954,P8484
CID000003954,P81491
CID000003954,P83551
CID000003954,P680
CID000003954,P11255
CID005381226,P28234
CID005381226,P834
CID005381226,P6579
CID005381226,P11309
CID005381226,P10599
CID005381226,P8856
CID000000271,P127018
CID000000271,P56985
CID000000271,P55616
CID000000271,P55617
CID000000271,P55347
CID000000271,P338339
CID000000271,P4025
CID000000271,P84911
CID000000271,P28999
CID000000271,P27289
CID000000271,P101060200
CID000000271,P55293
CID000000271,P115817
CID000000271,P5980
CID000000271,P90333
CID000000271,P55762
CID000000271,P7511
CID000000271,P55769
CID000000271,P51061
CID000000271,P360023
CID000000271,P3991
CID000000271,P51285
CID000000271,P116412
CID000000271,P51282
CID000000271,P3689
CID000000271,P4685
CID000000271,P53904
CID000000271,P55900
CID000000271,P55907
CID000000271,P6794
CID000000271,P6793
CID000000271,P6790
CID000000271,P10960
CID000000271,P84869
CID000000271,P84868
CID000000271,P6799
CID000000271,P4831
CID000000271,P27175
CID000000271,P55582
CID000000271,P5859
CID000000271,P3775
CID000000271,P260293
CID000000271,P3778
CID000000271,P270
CID000000271,P271
CID000000271,P272
CID000000271,P4651
CID000000271,P4521
CID000000271,P276
CID000000271,P277
CID000000271,P278
CID000000271,P279
CID000000271,P3684
CID000000271,P283871
CID000000271,P57615
CID000000271,P26153
CID000000271,P26152
CID000000271,P140894
CID000000271,P90827
CID000000271,P404281
CID000000271,P389208
CID000000271,P81629
CID000000271,P51110
CID000000271,P63934
CID000000271,P200895
CID000000271,P7884
CID000000271,P57474
CID000000271,P9252
CID000000271,P124590
CID000000271,P57473
CID000000271,P22908
CID000000271,P108
CID000000271,P109
CID000000271,P22901
CID000000271,P100
CID000000271,P101
CID000000271,P57180
CID000000271,P107
CID000000271,P57182
CID000000271,P378807
CID000000271,P79818
CID000000271,P2042
CID000000271,P84124
CID000000271,P163033
CID000000271,P140456
CID000000271,P84129
CID000000271,P79814
CID000000271,P85439
CID000000271,P342908
CID000000271,P26027
CID000000271,P4144
CID000000271,P124359
CID000000271,P80110
CID000000271,P10633
CID000000271,P203611
CID000000271,P10417
CID000000271,P53353
CID000000271,P9341
CID000000271,P133690
CID000000271,P11127
CID000000271,P2736
CID000000271,P22875
CID000000271,P10383
CID000000271,P10382
CID000000271,P10381
CID000000271,P9630
CID000000271,P10000
CID000000271,P2638
CID000000271,P84698
CID000000271,P7517
CID000000271,P7264
CID000000271,P84693
CID000000271,P7263
CID000000271,P6204
CID000000271,P11072
CID000000271,P167465
CID000000271,P90317
CID000000271,P2686
CID000000271,P2687
CID000000271,P90649
CID000000271,P26974
CID000000271,P654231
CID000000271,P5292
CID000000271,P254552
CID000000271,P9745
CID000000271,P285989
CID000000271,P10565
CID000000271,P80975
CID000000271,P1991
CID000000271,P1990
CID000000271,P1992
CID000000271,P10097
CID000000271,P10096
CID000000271,P10095
CID000000271,P10094
CID000000271,P1629
CID000000271,P9184
CID000000271,P3208
CID000000271,P83479
CID000000271,P79758
CID000000271,P169841
CID000000271,P285440
CID000000271,P8833
CID000000271,P558
CID000000271,P283471
CID000000271,P284312
CID000000271,P10365
CID000000271,P7678
CID000000271,P7675
CID000000271,P7673
CID000000271,P7078
CID000000271,P7079
CID000000271,P7074
CID000000271,P7076
CID000000271,P7077
CID000000271,P7071
CID000000271,P83851
CID000000271,P253650
CID000000271,P147699
CID000000271,P284307
CID000000271,P147694
CID000000271,P23057
CID000000271,P4254
CID000000271,P5533
CID000000271,P5532
CID000000271,P5531
CID000000271,P5530
CID000000271,P5536
CID000000271,P5535
CID000000271,P5534
CID000000271,P5538
CID000000271,P146909
CID000000271,P1284
CID000000271,P1287
CID000000271,P8722
CID000000271,P8702
CID000000271,P728378
CID000000271,P1282
CID000000271,P11164
CID000000271,P91664
CID000000271,P1289
CID000000271,P1288
CID000000271,P91661
CID000000271,P50700
CID000000271,P1579
CID000000271,P8766
CID000000271,P688
CID000000271,P1573
CID000000271,P684
CID000000271,P1571
CID000000271,P29102
CID000000271,P1577
CID000000271,P1576
CID000000271,P1349
CID000000271,P127396
CID000000271,P8382
CID000000271,P23619
CID000000271,P92797
CID000000271,P51475
CID000000271,P283659
CID000000271,P8547
CID000000271,P871
CID000000271,P23617
CID000000271,P79673
CID000000271,P55110
CID000000271,P7453
CID000000271,P7450
CID000000271,P123036
CID000000271,P5624
CID000000271,P158158
CID000000271,P8493
CID000000271,P8492
CID000000271,P643418
CID000000271,P143425
CID000000271,P7690
CID000000271,P7691
CID000000271,P7692
CID000000271,P400
CID000000271,P2745
CID000000271,P7699
CID000000271,P643414
CID000000271,P3834
CID000000271,P3835
CID000000271,P23474
CID000000271,P158399
CID000000271,P3832
CID000000271,P374928
CID000000271,P144348
CID000000271,P4035
CID000000271,P28983
CID000000271,P4037
CID000000271,P4036
CID000000271,P4038
CID000000271,P51279
CID000000271,P92086
CID000000271,P51274
CID000000271,P51276
CID000000271,P51277
CID000000271,P379
CID000000271,P378
CID000000271,P131873
CID000000271,P51076
CID000000271,P7528
CID000000271,P375
CID000000271,P57722
CID000000271,P377
CID000000271,P55750
CID000000271,P55244
CID000000271,P51293
CID000000271,P55930
CID000000271,P340061
CID000000271,P391
CID000000271,P390
CID000000271,P728116
CID000000271,P399
CID000000271,P54993
CID000000271,P2308
CID000000271,P6782
CID000000271,P4729
CID000000271,P4728
CID000000271,P6786
CID000000271,P84874
CID000000271,P84870
CID000000271,P4720
CID000000271,P4723
CID000000271,P4722
CID000000271,P255631
CID000000271,P93134
CID000000271,P64841
CID000000271,P2335
CID000000271,P11284
CID000000271,P3748
CID000000271,P3749
CID000000271,P3746
CID000000271,P64114
CID000000271,P3744
CID000000271,P3745
CID000000271,P3742
CID000000271,P3743
CID000000271,P3741
CID000000271,P4620
CID000000271,P4621
CID000000271,P4622
CID000000271,P4624
CID000000271,P4626
CID000000271,P4627
CID000000271,P4628
CID000000271,P4629
CID000000271,P440387
CID000000271,P117248
CID000000271,P26140
CID000000271,P140883
CID000000271,P2271
CID000000271,P124923
CID000000271,P26149
CID000000271,P7716
CID000000271,P387496
CID000000271,P51102
CID000000271,P100529261
CID000000271,P100132396
CID000000271,P63904
CID000000271,P7490
CID000000271,P51109
CID000000271,P9249
CID000000271,P4318
CID000000271,P57403
CID000000271,P9534
CID000000271,P57404
CID000000271,P641339
CID000000271,P199
CID000000271,P175
CID000000271,P174
CID000000271,P173
CID000000271,P3698
CID000000271,P3699
CID000000271,P2052
CID000000271,P2054
CID000000271,P2059
CID000000271,P80108
CID000000271,P3695
CID000000271,P341640
CID000000271,P3697
CID000000271,P7980
CID000000271,P9407
CID000000271,P7988
CID000000271,P10627
CID000000271,P202559
CID000000271,P9337
CID000000271,P9331
CID000000271,P10154
CID000000271,P90075
CID000000271,P22800
CID000000271,P100289678
CID000000271,P22807
CID000000271,P64332
CID000000271,P10398
CID000000271,P22808
CID000000271,P9627
CID000000271,P9626
CID000000271,P390980
CID000000271,P353322
CID000000271,P116115
CID000000271,P54961
CID000000271,P149041
CID000000271,P63874
CID000000271,P25864
CID000000271,P2694
CID000000271,P54413
CID000000271,P204474
CID000000271,P84064
CID000000271,P84643
CID000000271,P83592
CID000000271,P6810
CID000000271,P6815
CID000000271,P83594
CID000000271,P79400
CID000000271,P170850
CID000000271,P7322
CID000000271,P256281
CID000000271,P10085
CID000000271,P3747
CID000000271,P1960
CID000000271,P1613
CID000000271,P1962
CID000000271,P168850
CID000000271,P647174
CID000000271,P91074
CID000000271,P80818
CID000000271,P285148
CID000000271,P8226
CID000000271,P29803
CID000000271,P284541
CID000000271,P89777
CID000000271,P11337
CID000000271,P23046
CID000000271,P79633
CID000000271,P8153
CID000000271,P169792
CID000000271,P9373
CID000000271,P1544
CID000000271,P1545
CID000000271,P1543
CID000000271,P1549
CID000000271,P8710
CID000000271,P284306
CID000000271,P547
CID000000271,P126070
CID000000271,P549
CID000000271,P284309
CID000000271,P23604
CID000000271,P7566
CID000000271,P84671
CID000000271,P7567
CID000000271,P7564
CID000000271,P8029
CID000000271,P8531
CID000000271,P8536
CID000000271,P51440
CID000000271,P7113
CID000000271,P7442
CID000000271,P11021
CID000000271,P11020
CID000000271,P7447
CID000000271,P5613
CID000000271,P7561
CID000000271,P26251
CID000000271,P414
CID000000271,P415
CID000000271,P284161
CID000000271,P410
CID000000271,P411
CID000000271,P412
CID000000271,P100287515
CID000000271,P25953
CID000000271,P28227
CID000000271,P5715
CID000000271,P374955
CID000000271,P10212
CID000000271,P2768
CID000000271,P27035
CID000000271,P65986
CID000000271,P65989
CID000000271,P65988
CID000000271,P27034
CID000000271,P26085
CID000000271,P345062
CID000000271,P7539
CID000000271,P643246
CID000000271,P51043
CID000000271,P170591
CID000000271,P51592
CID000000271,P55033
CID000000271,P5274
CID000000271,P55922
CID000000271,P55251
CID000000271,P55929
CID000000271,P7058
CID000000271,P65217
CID000000271,P9521
CID000000271,P381
CID000000271,P383
CID000000271,P384
CID000000271,P387
CID000000271,P388
CID000000271,P389
CID000000271,P56907
CID000000271,P201140
CID000000271,P5272
CID000000271,P51621
CID000000271,P155061
CID000000271,P5273
CID000000271,P4756
CID000000271,P55634
CID000000271,P5873
CID000000271,P5876
CID000000271,P5874
CID000000271,P5875
CID000000271,P5878
CID000000271,P5879
CID000000271,P27153
CID000000271,P3751
CID000000271,P3750
CID000000271,P3752
CID000000271,P3755
CID000000271,P3754
CID000000271,P64101
CID000000271,P4633
CID000000271,P4632
CID000000271,P4637
CID000000271,P5373
CID000000271,P2196
CID000000271,P4634
CID000000271,P250
CID000000271,P220929
CID000000271,P2200
CID000000271,P80778
CID000000271,P57677
CID000000271,P2208
CID000000271,P162239
CID000000271,P342892
CID000000271,P84720
CID000000271,P5464
CID000000271,P63917
CID000000271,P3908
CID000000271,P9501
CID000000271,P9507
CID000000271,P163131
CID000000271,P120892
CID000000271,P7846
CID000000271,P51032
CID000000271,P340706
CID000000271,P6277
CID000000271,P84100
CID000000271,P4830
CID000000271,P4833
CID000000271,P4832
CID000000271,P3687
CID000000271,P3685
CID000000271,P4520
CID000000271,P26048
CID000000271,P140458
CID000000271,P140459
CID000000271,P90485
CID000000271,P6198
CID000000271,P6199
CID000000271,P2735
CID000000271,P53371
CID000000271,P2737
CID000000271,P2730
CID000000271,P2195
CID000000271,P10168
CID000000271,P339906
CID000000271,P2738
CID000000271,P84838
CID000000271,P57094
CID000000271,P30827
CID000000271,P55811
CID000000271,P645027
CID000000271,P5054
CID000000271,P5055
CID000000271,P83855
CID000000271,P5050
CID000000271,P9188
CID000000271,P4338
CID000000271,P57502
CID000000271,P54997
CID000000271,P54995
CID000000271,P90113
CID000000271,P346157
CID000000271,P112939
CID000000271,P84651
CID000000271,P10509
CID000000271,P9761
CID000000271,P125061
CID000000271,P10501
CID000000271,P10505
CID000000271,P10507
CID000000271,P84250
CID000000271,P10634
CID000000271,P9296
CID000000271,P84258
CID000000271,P80117
CID000000271,P1974
CID000000271,P1973
CID000000271,P8858
CID000000271,P801
CID000000271,P805
CID000000271,P8854
CID000000271,P137209
CID000000271,P1849
CID000000271,P89941
CID000000271,P53405
CID000000271,P5475
CID000000271,P207063
CID000000271,P5470
CID000000271,P80824
CID000000271,P80829
CID000000271,P32
CID000000271,P10219
CID000000271,P1775
CID000000271,P1774
CID000000271,P5276
CID000000271,P2971
CID000000271,P5270
CID000000271,P5271
CID000000271,P1773
CID000000271,P347733
CID000000271,P79027
CID000000271,P7053
CID000000271,P7056
CID000000271,P54753
CID000000271,P5142
CID000000271,P1159
CID000000271,P1158
CID000000271,P8639
CID000000271,P301
CID000000271,P23071
CID000000271,P1553
CID000000271,P1152
CID000000271,P5518
CID000000271,P84290
CID000000271,P1555
CID000000271,P5515
CID000000271,P253190
CID000000271,P5516
CID000000271,P1551
CID000000271,P2999
CID000000271,P11108
CID000000271,P59
CID000000271,P3039
CID000000271,P1557
CID000000271,P1559
CID000000271,P54
CID000000271,P25891
CID000000271,P3030
CID000000271,P219595
CID000000271,P126069
CID000000271,P126068
CID000000271,P8703
CID000000271,P2990
CID000000271,P284370
CID000000271,P284371
CID000000271,P1558
CID000000271,P91442
CID000000271,P22871
CID000000271,P729288
CID000000271,P23678
CID000000271,P401036
CID000000271,P55845
CID000000271,P11107
CID000000271,P5604
CID000000271,P8529
CID000000271,P3032
CID000000271,P8520
CID000000271,P100129543
CID000000271,P51455
CID000000271,P9997
CID000000271,P56649
CID000000271,P91227
CID000000271,P6519
CID000000271,P207
CID000000271,P11031
CID000000271,P100131980
CID000000271,P91526
CID000000271,P3292
CID000000271,P3816
CID000000271,P3817
CID000000271,P3818
CID000000271,P23491
CID000000271,P65990
CID000000271,P23250
CID000000271,P65997
CID000000271,P283748
CID000000271,P340252
CID000000271,P51058
CID000000271,P27010
CID000000271,P27012
CID000000271,P7549
CID000000271,P50509
CID000000271,P50508
CID000000271,P7541
CID000000271,P50507
CID000000271,P7543
CID000000271,P7544
CID000000271,P7545
CID000000271,P7546
CID000000271,P7547
CID000000271,P55268
CID000000271,P81562
CID000000271,P81567
CID000000271,P81569
CID000000271,P150290
CID000000271,P6768
CID000000271,P84812
CID000000271,P84816
CID000000271,P10993
CID000000271,P342926
CID000000271,P5869
CID000000271,P5868
CID000000271,P55647
CID000000271,P5862
CID000000271,P60490
CID000000271,P56848
CID000000271,P163049
CID000000271,P64135
CID000000271,P55869
CID000000271,P80760
CID000000271,P90874
CID000000271,P2184
CID000000271,P55860
CID000000271,P224
CID000000271,P223
CID000000271,P222
CID000000271,P220
CID000000271,P142910
CID000000271,P2219
CID000000271,P57644
CID000000271,P100529240
CID000000271,P57642
CID000000271,P43847
CID000000271,P27232
CID000000271,P140625
CID000000271,P6690
CID000000271,P43849
CID000000271,P195828
CID000000271,P90589
CID000000271,P64005
CID000000271,P158
CID000000271,P2977
CID000000271,P100289635
CID000000271,P93973
CID000000271,P6341
CID000000271,P4519
CID000000271,P54675
CID000000271,P4512
CID000000271,P4513
CID000000271,P6809
CID000000271,P4514
CID000000271,P340385
CID000000271,P125893
CID000000271,P9420
CID000000271,P9423
CID000000271,P9422
CID000000271,P9424
CID000000271,P9427
CID000000271,P64895
CID000000271,P9601
CID000000271,P199777
CID000000271,P57336
CID000000271,P57335
CID000000271,P10172
CID000000271,P163081
CID000000271,P163087
CID000000271,P124411
CID000000271,P22829
CID000000271,P60678
CID000000271,P5045
CID000000271,P22824
CID000000271,P10371
CID000000271,P3782
CID000000271,P3783
CID000000271,P3781
CID000000271,P3786
CID000000271,P3787
CID000000271,P3784
CID000000271,P1800
CID000000271,P3788
CID000000271,P1808
CID000000271,P10773
CID000000271,P9512
CID000000271,P6237
CID000000271,P6236
CID000000271,P9519
CID000000271,P80010
CID000000271,P84628
CID000000271,P84622
CID000000271,P113457
CID000000271,P84627
CID000000271,P29122
CID000000271,P10518
CID000000271,P10519
CID000000271,P10243
CID000000271,P10512
CID000000271,P64577
CID000000271,P8867
CID000000271,P23173
CID000000271,P3250
CID000000271,P3251
CID000000271,P1946
CID000000271,P122481
CID000000271,P54509
CID000000271,P811
CID000000271,P814
CID000000271,P25809
CID000000271,P10093
CID000000271,P10092
CID000000271,P10202
CID000000271,P3336
CID000000271,P5467
CID000000271,P50801
CID000000271,P3339
CID000000271,P5267
CID000000271,P5265
CID000000271,P7730
CID000000271,P10190
CID000000271,P553115
CID000000271,P256394
CID000000271,P5269
CID000000271,P5268
CID000000271,P163227
CID000000271,P163223
CID000000271,P728927
CID000000271,P252884
CID000000271,P282974
CID000000271,P653857
CID000000271,P8609
CID000000271,P1120
CID000000271,P284217
CID000000271,P23499
CID000000271,P25888
CID000000271,P168544
CID000000271,P79724
CID000000271,P339221
CID000000271,P79727
CID000000271,P126017
CID000000271,P643641
CID000000271,P2983
CID000000271,P3026
CID000000271,P2986
CID000000271,P2984
CID000000271,P523
CID000000271,P83715
CID000000271,P1016
CID000000271,P8735
CID000000271,P529
CID000000271,P339559
CID000000271,P23660
CID000000271,P136541
CID000000271,P8513
CID000000271,P126231
CID000000271,P89822
CID000000271,P283629
CID000000271,P6279
CID000000271,P4357
CID000000271,P195814
CID000000271,P4353
CID000000271,P4116
CID000000271,P11004
CID000000271,P25979
CID000000271,P9104
CID000000271,P389058
CID000000271,P85461
CID000000271,P115294
CID000000271,P432
CID000000271,P92291
CID000000271,P100287718
CID000000271,P440738
CID000000271,P127833
CID000000271,P80144
CID000000271,P3801
CID000000271,P148198
CID000000271,P11344
CID000000271,P11345
CID000000271,P80146
CID000000271,P6009
CID000000271,P23710
CID000000271,P7157
CID000000271,P8192
CID000000271,P51020
CID000000271,P730051
CID000000271,P51022
CID000000271,P197320
CID000000271,P163051
CID000000271,P23414
CID000000271,P199974
CID000000271,P253175
CID000000271,P316
CID000000271,P23395
CID000000271,P7553
CID000000271,P7552
CID000000271,P7551
CID000000271,P7556
CID000000271,P91522
CID000000271,P7554
CID000000271,P55279
CID000000271,P26289
CID000000271,P26287
CID000000271,P55786
CID000000271,P26284
CID000000271,P93107
CID000000271,P56479
CID000000271,P9946
CID000000271,P55657
CID000000271,P342933
CID000000271,P9718
CID000000271,P170487
CID000000271,P27130
CID000000271,P55659
CID000000271,P5816
CID000000271,P3066
CID000000271,P51807
CID000000271,P51806
CID000000271,P57786
CID000000271,P90338
CID000000271,P51809
CID000000271,P56302
CID000000271,P4619
CID000000271,P440515
CID000000271,P130752
CID000000271,P340654
CID000000271,P158586
CID000000271,P231
CID000000271,P57659
CID000000271,P10352
CID000000271,P64856
CID000000271,P2224
CID000000271,P2222
CID000000271,P2220
CID000000271,P4881
CID000000271,P140612
CID000000271,P201501
CID000000271,P5928
CID000000271,P63826
CID000000271,P51157
CID000000271,P51156
CID000000271,P253827
CID000000271,P134526
CID000000271,P222696
CID000000271,P90592
